Parameter,Value,Uncertainty
A,2631.1103373583915,8.443289116485648
b,27.97982563429241,0.36047332173325786
FWHM,58.435619923335025,0.12412430937586161
d,7587.679501663481,0.06331316241716343
Chi^2,4287.838326809584,
Reduced Chi^2,12.078417821998828,
