Parameter,Value,Uncertainty
A,2924.4885929968564,9.504413333824745
b,23.542054578653172,0.3841511004501845
τ,29.769806204219755,0.07067195371882795
t₀,7587.644143480503,0.06303860365327907
Chi²,1685.5386213431243,
Reduced Chi²,4.747996116459505,
