Parameter,Value,Uncertainty
A,3572.2957356247716,14.451489968258052
b,1.7532838520970203e-20,0.5477913978021801
FWHM,31.72764964970281,0.1375833515995236
d,4767.196776207528,0.05784113963447803
Chi^2,17577.41521984104,
Reduced Chi^2,49.51384568969307,
