Parameter,Value,Uncertainty
A,2863.499875354612,9.391398679174896
b,22.78935025546345,0.3785377344036843
τ,29.857181700304288,0.07149171220620487
t₀,7587.728826890904,0.06377561661381831
Chi²,1734.60503549552,
Reduced Chi²,4.886211367593014,
