Parameter,Value,Uncertainty
A,167.22100936318512,0.8683149239947462
b,0.11547534786127527,0.004728186527445433
FWHM,75.16850703075974,0.23030795326103085
d,471200.10282906407,0.13483550041581877
Chi^2,485.8783623067332,
Reduced Chi^2,1.3534216220243265,
