Parameter,Value,Uncertainty
A,167.87051513013031,0.8728678209093162
b,0.11907943259433493,0.004763418562648526
FWHM,74.57410612959191,0.2283424363711589
d,562399.9587074851,0.13401663334546896
Chi^2,456.963930251984,
Reduced Chi^2,1.2623312990386297,
