Parameter,Value,Uncertainty
A,166.75948926710115,0.8641370356976258
b,0.11383108928948592,0.004655796205226654
FWHM,75.34624880148053,0.22919857024045487
d,-1383200.379963925,0.13513778239232052
Chi^2,517.978425872585,
Reduced Chi^2,1.426937812321171,
