Parameter,Value,Uncertainty
A,167.27496624078557,0.8778856130450415
b,0.40924586247874284,0.048369181784806994
FWHM,74.50223968335365,0.25217148042362914
d,-1991199.4852185838,0.13550584072095262
Chi^2,70.17310440267826,
Reduced Chi^2,1.1318242645593268,
