Parameter,Value,Uncertainty
A,168.9478011397055,0.8868101094851515
b,0.5865072778691102,0.05534590139568706
FWHM,73.84955894714793,0.25415638882789593
d,319200.1882693164,0.13489490505451643
Chi^2,109.53020380223374,
Reduced Chi^2,1.7666161903586088,
