Parameter,Value,Uncertainty
A,168.02306206845518,0.8802854802724834
b,0.44711920350132,0.05175690596042871
FWHM,74.35098914015067,0.2540852787735059
d,638400.7798197301,0.13527885919783664
Chi^2,85.38940062541215,
Reduced Chi^2,1.377248397184067,
