Parameter,Value,Uncertainty
A,2743.4958619957342,8.61202768051261
b,29.9702415752487,0.3736687902667601
FWHM,58.47753344352678,0.12158644088829071
d,4767.333264487955,0.06209635916327746
Chi^2,4086.1832223348824,
Reduced Chi^2,11.510375274182767,
