BinCenter (ps);Histo01;Histo02;Histo03;Histo04
1.5;154;315;1;0
4.5;165;283;1;0
7.5;147;301;2;0
10.5;151;306;4;0
13.5;176;310;1;0
16.5;157;288;1;0
19.5;141;311;1;0
22.5;148;318;3;0
25.5;174;338;0;0
28.5;182;299;1;0
31.5;166;311;0;0
34.5;153;297;1;0
37.5;161;320;0;0
40.5;180;322;0;0
43.5;157;318;1;0
46.5;163;323;1;0
49.5;165;319;2;0
52.5;151;310;1;0
55.5;149;296;1;0
58.5;148;314;2;0
61.5;153;317;0;0
64.5;163;330;1;0
67.5;165;344;2;0
70.5;181;331;1;0
73.5;148;332;2;0
76.5;147;343;0;0
79.5;141;288;2;0
82.5;153;309;2;0
85.5;163;298;1;0
88.5;147;304;0;0
91.5;188;299;1;0
94.5;181;279;1;0
97.5;168;337;5;0
100.5;143;320;0;0
103.5;171;307;0;0
106.5;158;339;1;0
109.5;164;322;0;0
112.5;155;308;1;0
115.5;150;334;1;0
118.5;141;323;1;0
121.5;149;299;1;0
124.5;166;310;0;0
127.5;172;329;1;0
130.5;173;329;1;0
133.5;158;278;1;0
136.5;147;347;1;0
139.5;156;310;0;0
142.5;149;318;1;0
145.5;141;295;1;0
148.5;155;291;1;0
151.5;152;336;2;0
154.5;140;320;0;0
157.5;148;334;0;0
160.5;167;308;0;0
163.5;163;325;1;0
166.5;146;297;0;0
169.5;173;318;2;0
172.5;159;313;2;0
175.5;147;325;1;0
178.5;176;310;1;0
181.5;158;292;2;0
184.5;156;305;1;0
187.5;175;309;1;0
190.5;161;312;0;0
193.5;162;307;0;0
196.5;159;309;2;0
199.5;147;327;1;0
202.5;167;271;3;0
205.5;168;279;0;0
208.5;148;307;2;0
211.5;158;326;1;0
214.5;150;321;0;0
217.5;154;312;1;0
220.5;156;292;0;0
223.5;143;336;0;0
226.5;131;313;0;0
229.5;158;336;1;0
232.5;152;291;1;0
235.5;161;301;1;0
238.5;157;331;1;0
241.5;159;311;1;0
244.5;156;306;0;0
247.5;159;299;2;0
250.5;166;296;3;0
253.5;153;284;0;0
256.5;162;329;2;0
259.5;130;314;1;0
262.5;169;338;0;0
265.5;154;306;0;0
268.5;154;282;1;0
271.5;146;320;3;0
274.5;137;315;1;0
277.5;164;318;0;0
280.5;164;302;1;0
283.5;150;310;3;0
286.5;139;333;1;0
289.5;176;308;3;0
292.5;159;326;1;0
295.5;165;345;1;0
298.5;134;322;0;0
301.5;154;332;2;0
304.5;174;315;1;0
307.5;171;340;0;0
310.5;150;290;0;0
313.5;142;312;2;0
316.5;174;332;3;0
319.5;148;277;0;0
322.5;155;302;1;0
325.5;143;309;1;0
328.5;143;328;0;0
331.5;160;315;0;0
334.5;169;323;1;0
337.5;188;315;1;0
340.5;143;280;0;0
343.5;165;312;1;0
346.5;173;316;1;0
349.5;174;307;0;0
352.5;140;351;1;0
355.5;144;285;1;0
358.5;173;318;1;0
361.5;162;323;1;0
364.5;159;304;1;0
367.5;157;304;2;0
370.5;154;340;0;0
373.5;164;329;2;0
376.5;171;302;2;0
379.5;173;336;2;0
382.5;155;311;0;0
385.5;174;319;1;0
388.5;135;343;0;0
391.5;139;356;0;0
394.5;152;297;1;0
397.5;171;313;0;0
400.5;159;265;1;0
403.5;158;332;1;0
406.5;149;319;0;0
409.5;147;319;0;0
412.5;147;316;0;0
415.5;156;297;0;0
418.5;186;290;3;0
421.5;154;322;4;0
424.5;158;330;1;0
427.5;176;310;2;0
430.5;156;329;0;0
433.5;145;354;3;0
436.5;150;310;1;0
439.5;152;318;3;0
442.5;152;302;0;0
445.5;166;305;1;0
448.5;177;324;1;0
451.5;155;347;0;0
454.5;156;338;1;0
457.5;153;296;1;0
460.5;155;341;0;0
463.5;152;359;0;0
466.5;180;311;1;0
469.5;164;298;1;0
472.5;162;316;0;0
475.5;161;325;1;0
478.5;163;315;0;0
481.5;151;337;2;0
484.5;140;362;0;0
487.5;179;304;0;0
490.5;167;325;3;0
493.5;152;331;0;0
496.5;167;290;0;0
499.5;161;339;0;0
502.5;147;341;0;0
505.5;159;331;0;0
508.5;157;310;2;0
511.5;149;316;2;0
514.5;156;351;1;0
517.5;136;299;0;0
520.5;162;309;1;0
523.5;160;310;1;0
526.5;172;307;0;0
529.5;174;330;1;0
532.5;152;315;0;0
535.5;147;317;0;0
538.5;173;288;2;0
541.5;145;336;0;0
544.5;166;358;1;0
547.5;153;334;0;0
550.5;175;322;0;0
553.5;168;318;0;0
556.5;175;327;0;0
559.5;144;276;1;0
562.5;148;318;1;0
565.5;159;316;1;0
568.5;155;307;0;0
571.5;159;336;1;0
574.5;184;326;0;0
577.5;160;324;2;0
580.5;128;314;1;0
583.5;135;303;1;0
586.5;171;293;1;0
589.5;131;299;1;0
592.5;152;291;3;0
595.5;157;310;1;0
598.5;157;274;0;0
601.5;163;328;1;0
604.5;178;267;0;0
607.5;171;320;1;0
