Parameter,Value,Uncertainty
A,213.36889802101226,4.130476828566916
b,0.34627985407746575,0.09042529050525507
FWHM,51.02420583757924,0.607235224442608
d,2690404.128628101,0.3381917456155405
Chi^2,19.963212690443168,
Reduced Chi^2,1.3308808460295445,
