Parameter,Value,Uncertainty
A,222.62080138365445,2.453410603079639
b,0.41863694410304536,0.0636239569851868
FWHM,53.04323400525278,0.35708789863691515
d,-379999.6297514252,0.20193801651981738
Chi^2,48.0542890920343,
Reduced Chi^2,1.0011310227507146,
