Parameter,Value,Uncertainty
A,2664.2237866748296,8.474351303795999
b,28.028345795944812,0.3616015594622607
FWHM,58.752757920829644,0.1237555673227525
d,7587.596116224168,0.0630789532515724
Chi^2,4242.2741994815115,
Reduced Chi^2,11.950068167553553,
