Parameter,Value,Uncertainty
A,3470.0118977738634,14.209203641400437
b,1.1153833684282506e-21,0.5317438071225692
FWHM,31.872262918940937,0.13964576728515324
d,7587.936322860867,0.05883000320875454
Chi^2,16973.71423204242,
Reduced Chi^2,47.81327952688006,
