Parameter,Value,Uncertainty
A,3446.6456184975564,14.177845910348003
b,2.5481050968579276e-21,0.5347408702678054
FWHM,31.822432396765123,0.14044385405865686
d,4767.086349467713,0.0589770669996956
Chi^2,17155.564531444797,
Reduced Chi^2,48.325533891393796,
