Parameter,Value,Uncertainty
A,2661.466657853396,8.48764455712052
b,28.431984246795366,0.36349200728996733
FWHM,58.624960952014206,0.12393234227666526
d,7587.745216974702,0.06304956690201442
Chi^2,4611.854175974992,
Reduced Chi^2,12.991138523873218,
