BinCenter (ps);Histo01;Histo02;Histo03;Histo04
0.5;2;1134;2;1134
1.5;0;1198;0;1198
2.5;0;1132;1;1132
3.5;2;1133;1;1133
4.5;0;1099;1;1099
5.5;1;1145;1;1145
6.5;1;1090;0;1090
7.5;0;1177;0;1177
8.5;3;1171;1;1171
9.5;0;1148;1;1148
10.5;0;1144;1;1144
11.5;0;1111;2;1111
12.5;0;1130;0;1130
13.5;0;1168;0;1168
14.5;0;1179;0;1179
15.5;1;1159;0;1159
16.5;1;1145;1;1145
17.5;0;1105;1;1105
18.5;0;1151;2;1151
19.5;1;1156;0;1156
20.5;1;1079;4;1079
21.5;1;1120;1;1120
22.5;1;1103;0;1103
23.5;1;1199;1;1199
24.5;0;1162;3;1162
25.5;3;1136;1;1136
26.5;1;1147;1;1147
27.5;1;1092;1;1092
28.5;1;1126;0;1126
29.5;0;1100;0;1100
30.5;0;1042;1;1042
31.5;0;1120;1;1120
32.5;0;1124;0;1124
33.5;0;1124;0;1124
34.5;0;1125;0;1125
35.5;1;1107;4;1107
36.5;1;1153;0;1153
37.5;0;1112;2;1112
38.5;1;1160;0;1160
39.5;2;1133;1;1133
40.5;1;1149;0;1149
41.5;1;1193;0;1193
42.5;2;1125;1;1125
43.5;1;1099;0;1099
44.5;0;1099;3;1099
45.5;0;1105;0;1105
46.5;1;1142;1;1142
47.5;1;1086;0;1086
48.5;0;1073;1;1073
49.5;2;1113;1;1113
50.5;1;1080;0;1080
51.5;1;1161;0;1161
52.5;1;1087;0;1087
53.5;0;1150;1;1150
54.5;1;1084;1;1084
55.5;0;1138;0;1138
56.5;0;1195;0;1195
57.5;0;1128;1;1128
58.5;1;1111;0;1111
59.5;2;1198;0;1198
60.5;1;1139;0;1139
61.5;1;1127;1;1127
62.5;1;1130;0;1130
63.5;0;1132;0;1132
64.5;0;1118;1;1118
65.5;1;1164;0;1164
66.5;0;1092;2;1092
67.5;0;1172;1;1172
68.5;0;1153;1;1153
69.5;0;1166;0;1166
70.5;0;1138;0;1138
71.5;2;1162;0;1162
72.5;2;1157;2;1157
73.5;2;1123;2;1123
74.5;0;1144;0;1144
75.5;0;1037;0;1037
76.5;2;1103;0;1103
77.5;2;1120;0;1120
78.5;1;1103;0;1103
79.5;1;1168;1;1168
80.5;0;1099;1;1099
81.5;0;1191;0;1191
82.5;2;1066;0;1066
83.5;0;1112;1;1112
84.5;0;1092;0;1092
85.5;0;1149;1;1149
86.5;0;1129;1;1129
87.5;4;1101;0;1101
88.5;0;1110;1;1110
89.5;4;1090;0;1090
90.5;0;1092;2;1092
91.5;1;1125;0;1125
92.5;0;1086;1;1086
93.5;0;1115;0;1115
94.5;1;1213;0;1213
95.5;3;1146;0;1146
96.5;2;1059;0;1059
97.5;0;1145;0;1145
98.5;0;1135;0;1135
99.5;2;1103;0;1103
100.5;0;1152;0;1152
101.5;3;1126;1;1126
102.5;1;1117;2;1117
103.5;0;1091;1;1091
104.5;1;1117;3;1117
