BinCenter (ps);Histo01;Histo02;Histo03;Histo04
0.5;2;1203;2;1203
1.5;3;1173;0;1173
2.5;0;1168;0;1168
3.5;0;1158;0;1158
4.5;1;1130;3;1130
5.5;0;1164;1;1164
6.5;0;1117;0;1117
7.5;1;1116;2;1116
8.5;1;1103;2;1103
9.5;1;1125;0;1125
10.5;0;1135;1;1135
11.5;1;1113;1;1113
12.5;1;1171;0;1171
13.5;0;1121;0;1121
14.5;1;1182;0;1182
15.5;0;1079;0;1079
16.5;1;1188;1;1188
17.5;2;1141;1;1141
18.5;0;1129;3;1129
19.5;1;1187;0;1187
20.5;1;1152;0;1152
21.5;1;1146;0;1146
22.5;0;1076;0;1076
23.5;1;1150;0;1150
24.5;1;1164;0;1164
25.5;1;1171;0;1171
26.5;0;1114;0;1114
27.5;0;1198;0;1198
28.5;1;1165;0;1165
29.5;2;1147;2;1147
30.5;0;1091;1;1091
31.5;1;1153;1;1153
32.5;1;1146;0;1146
33.5;0;1112;1;1112
34.5;0;1107;1;1107
35.5;2;1048;1;1048
36.5;1;1135;0;1135
37.5;1;1154;0;1154
38.5;1;1206;1;1206
39.5;1;1119;1;1119
40.5;0;1094;2;1094
41.5;1;1191;1;1191
42.5;2;1173;0;1173
43.5;0;1198;2;1198
44.5;0;1112;0;1112
45.5;0;1092;4;1092
46.5;1;1151;3;1151
47.5;0;1133;1;1133
48.5;1;1140;1;1140
49.5;1;1150;2;1150
50.5;1;1099;2;1099
51.5;0;1171;0;1171
52.5;1;1145;1;1145
53.5;3;1123;0;1123
54.5;2;1081;0;1081
55.5;0;1121;1;1121
56.5;0;1163;1;1163
57.5;0;1152;1;1152
58.5;0;1124;1;1124
59.5;3;1081;0;1081
60.5;1;1200;0;1200
61.5;0;1080;1;1080
62.5;0;1107;0;1107
63.5;2;1109;2;1109
64.5;1;1172;1;1172
65.5;0;1131;2;1131
66.5;2;1081;0;1081
67.5;0;1179;1;1179
68.5;0;1135;0;1135
69.5;2;1139;0;1139
70.5;1;1093;1;1093
71.5;1;1068;1;1068
72.5;2;1089;0;1089
73.5;2;1162;1;1162
74.5;2;1142;0;1142
75.5;1;1118;1;1118
76.5;1;1160;1;1160
77.5;1;1098;3;1098
78.5;1;1036;1;1036
79.5;1;1122;1;1122
80.5;2;1131;0;1131
81.5;3;1105;0;1105
82.5;0;1094;1;1094
83.5;0;1074;2;1074
84.5;3;1100;1;1100
85.5;1;1147;1;1147
86.5;2;1082;1;1082
87.5;1;1129;0;1129
88.5;1;1110;3;1110
89.5;1;1102;2;1102
90.5;1;1090;3;1090
91.5;1;1126;2;1126
92.5;1;1098;0;1098
93.5;2;1153;0;1153
94.5;0;1111;0;1111
95.5;1;1174;0;1174
96.5;1;1101;2;1101
97.5;3;1166;0;1166
98.5;0;1140;0;1140
99.5;0;1071;0;1071
100.5;1;1120;0;1120
101.5;0;1094;0;1094
102.5;2;1130;2;1130
103.5;1;1134;1;1134
104.5;0;1155;2;1155
105.5;1;1071;1;1071
106.5;2;1194;0;1194
107.5;1;1172;1;1172
108.5;0;1102;0;1102
109.5;1;1153;3;1153
110.5;0;1107;1;1107
111.5;0;1112;0;1112
112.5;0;1091;0;1091
113.5;1;1134;1;1134
114.5;1;1024;2;1024
115.5;0;1151;1;1151
116.5;0;1079;1;1079
117.5;1;1100;1;1100
118.5;3;1150;0;1150
119.5;2;1148;0;1148
120.5;0;1084;1;1084
121.5;2;1072;0;1072
122.5;0;1132;4;1132
123.5;1;1179;2;1179
124.5;0;1115;0;1115
125.5;1;1098;1;1098
126.5;1;1138;2;1138
127.5;1;1125;0;1125
128.5;0;1122;1;1122
129.5;0;1107;0;1107
130.5;0;1098;0;1098
131.5;1;1121;2;1121
132.5;1;1138;2;1138
133.5;2;1110;1;1110
134.5;0;1035;1;1035
135.5;1;1153;2;1153
136.5;0;1145;0;1145
137.5;0;1127;1;1127
138.5;0;1095;0;1095
139.5;0;1142;1;1142
140.5;1;1143;1;1143
141.5;0;1125;1;1125
142.5;3;1193;0;1193
143.5;2;1160;0;1160
144.5;0;1119;1;1119
145.5;0;1126;1;1126
146.5;0;1111;3;1111
147.5;1;1148;0;1148
148.5;2;1118;1;1118
149.5;0;1153;1;1153
150.5;1;1090;0;1090
151.5;1;1123;1;1123
152.5;1;1121;0;1121
