BinCenter (ps);Histo01;Histo02;Histo03;Histo04
0.5;0;1176;0;1176
1.5;2;1183;1;1183
2.5;0;1183;1;1183
3.5;0;1159;0;1159
4.5;0;1169;1;1169
5.5;3;1189;0;1189
6.5;0;1109;3;1109
7.5;1;1148;1;1148
8.5;0;1092;0;1092
9.5;3;1168;0;1168
10.5;2;1201;0;1201
11.5;0;1203;1;1203
12.5;0;1131;2;1131
13.5;1;1161;0;1161
14.5;2;1158;0;1158
15.5;1;1144;1;1144
16.5;0;1198;0;1198
17.5;0;1114;0;1114
18.5;2;1191;0;1191
19.5;2;1153;0;1153
20.5;1;1187;1;1187
21.5;1;1110;0;1110
22.5;1;1125;0;1125
23.5;3;1222;0;1222
24.5;0;1170;0;1170
25.5;0;1154;1;1154
26.5;0;1158;1;1158
27.5;1;1079;0;1079
28.5;1;1106;1;1106
29.5;2;1149;0;1149
30.5;1;1128;0;1128
31.5;0;1179;2;1179
32.5;0;1169;2;1169
33.5;0;1173;1;1173
34.5;1;1120;1;1120
35.5;1;1147;0;1147
36.5;0;1092;1;1092
37.5;1;1065;1;1065
38.5;0;1162;1;1162
39.5;2;1163;1;1163
40.5;1;1199;1;1199
41.5;1;1126;1;1126
42.5;1;1162;0;1162
43.5;0;1187;0;1187
44.5;0;1055;0;1055
45.5;0;1155;1;1155
46.5;0;1116;2;1116
47.5;0;1117;1;1117
48.5;0;1166;2;1166
49.5;0;1135;1;1135
50.5;2;1139;1;1139
51.5;1;1143;0;1143
52.5;1;1127;0;1127
53.5;0;1147;1;1147
54.5;2;1178;0;1178
55.5;0;1134;2;1134
56.5;1;1120;1;1120
57.5;0;1194;1;1194
58.5;0;1113;0;1113
59.5;1;1217;1;1217
60.5;0;1079;1;1079
61.5;0;1187;1;1187
62.5;0;1182;2;1182
63.5;1;1085;1;1085
64.5;1;1226;2;1226
65.5;1;1239;1;1239
66.5;0;1071;2;1071
67.5;0;1161;1;1161
68.5;0;1162;0;1162
69.5;0;1166;0;1166
70.5;1;1157;0;1157
71.5;2;1127;0;1127
72.5;1;1177;0;1177
73.5;0;1141;3;1141
74.5;0;1155;1;1155
75.5;0;1103;0;1103
76.5;2;1151;0;1151
77.5;1;1117;0;1117
78.5;1;1137;2;1137
79.5;0;1104;2;1104
80.5;1;1119;4;1119
81.5;2;1136;1;1136
82.5;1;1155;1;1155
83.5;0;1147;2;1147
84.5;1;1113;1;1113
85.5;1;1110;2;1110
86.5;2;1119;3;1119
87.5;4;1160;1;1160
88.5;0;1134;0;1134
89.5;0;1084;5;1084
90.5;0;1186;1;1186
91.5;1;1133;0;1133
92.5;0;1144;1;1144
93.5;2;1089;2;1089
94.5;0;1118;0;1118
95.5;0;1098;0;1098
96.5;2;1091;0;1091
97.5;0;1132;0;1132
98.5;1;1186;1;1186
99.5;0;1151;0;1151
100.5;1;1150;0;1150
101.5;2;1125;2;1125
102.5;2;1163;0;1163
103.5;0;1054;1;1054
104.5;2;1154;0;1154
105.5;1;1088;0;1088
106.5;2;1125;0;1125
107.5;0;1165;0;1165
108.5;0;1169;0;1169
109.5;1;1152;5;1152
110.5;0;1192;0;1192
111.5;0;1132;2;1132
112.5;1;1116;1;1116
113.5;2;1140;1;1140
114.5;0;1155;1;1155
115.5;0;1162;2;1162
116.5;0;1186;2;1186
117.5;2;1139;0;1139
118.5;1;1151;0;1151
119.5;1;1175;1;1175
120.5;4;1110;1;1110
121.5;2;1126;3;1126
122.5;2;1141;0;1141
123.5;0;1145;0;1145
124.5;0;1133;1;1133
125.5;2;1075;0;1075
126.5;2;1170;0;1170
127.5;0;1128;0;1128
128.5;2;1147;0;1147
129.5;1;1176;0;1176
130.5;2;1183;1;1183
131.5;2;1140;0;1140
132.5;1;1219;1;1219
133.5;3;1140;0;1140
134.5;0;1130;2;1130
135.5;2;1155;0;1155
136.5;2;1105;2;1105
137.5;1;1141;0;1141
138.5;2;1170;1;1170
139.5;0;1106;3;1106
140.5;1;1176;1;1176
141.5;2;1125;0;1125
142.5;1;1205;1;1205
143.5;1;1104;0;1104
144.5;1;1140;2;1140
145.5;1;1149;0;1149
146.5;1;1155;1;1155
147.5;1;1094;2;1094
148.5;1;1189;1;1189
149.5;0;1119;0;1119
150.5;2;1092;2;1092
151.5;1;1151;2;1151
152.5;0;1070;0;1070
153.5;1;1133;0;1133
154.5;1;1059;0;1059
155.5;2;1143;1;1143
156.5;1;1158;0;1158
157.5;1;1175;1;1175
158.5;1;1129;0;1129
159.5;0;1146;1;1146
160.5;0;1131;0;1131
161.5;1;1132;0;1132
162.5;1;1158;2;1158
163.5;0;1129;2;1129
164.5;0;1163;0;1163
165.5;1;1115;1;1115
166.5;0;1155;0;1155
167.5;2;1178;1;1178
168.5;0;1176;0;1176
169.5;2;1068;1;1068
170.5;1;1121;2;1121
171.5;1;1182;1;1182
172.5;2;1166;3;1166
173.5;0;1108;1;1108
174.5;1;1153;1;1153
175.5;1;1118;1;1118
176.5;1;1110;1;1110
177.5;0;1099;2;1099
178.5;4;1105;0;1105
179.5;0;1090;3;1090
180.5;0;1058;1;1058
181.5;0;1187;0;1187
182.5;0;1162;0;1162
183.5;0;1106;1;1106
184.5;1;1114;0;1114
185.5;2;1109;0;1109
186.5;0;1112;1;1112
187.5;1;1184;0;1184
188.5;1;1139;0;1139
189.5;1;1140;0;1140
190.5;1;1135;2;1135
191.5;1;1192;0;1192
192.5;2;1140;3;1140
193.5;0;1145;0;1145
194.5;1;1176;0;1176
195.5;1;1188;1;1188
196.5;1;1150;2;1150
197.5;0;1133;1;1133
198.5;1;1227;1;1227
199.5;0;1123;1;1123
200.5;0;1199;1;1199
201.5;1;1187;1;1187
202.5;0;1143;2;1143
203.5;0;1174;3;1174
204.5;1;1159;0;1159
205.5;1;1143;0;1143
206.5;0;1135;0;1135
207.5;1;1121;2;1121
208.5;0;1113;1;1113
209.5;4;1116;0;1116
210.5;0;1126;0;1126
211.5;0;1173;0;1173
212.5;0;1126;2;1126
213.5;1;1184;0;1184
214.5;0;1058;2;1058
215.5;2;1160;2;1160
216.5;0;1116;1;1116
217.5;0;1125;2;1125
218.5;1;1108;0;1108
219.5;0;1161;2;1161
220.5;0;1158;1;1158
221.5;2;1222;0;1222
222.5;2;1139;2;1139
223.5;0;1220;1;1220
224.5;0;1098;1;1098
225.5;1;1159;0;1159
226.5;0;1147;2;1147
