BinCenter (ps);Histo01;Histo02;Histo03;Histo04
0.5;0;1136;0;1136
1.5;0;1200;1;1200
2.5;0;1094;0;1094
3.5;0;1137;3;1137
4.5;0;1148;1;1148
5.5;0;1116;0;1116
6.5;2;1121;2;1121
7.5;2;1154;1;1154
8.5;1;1127;2;1127
9.5;0;1156;1;1156
10.5;0;1167;2;1167
11.5;1;1100;2;1100
12.5;0;1060;1;1060
13.5;1;1115;1;1115
14.5;0;1078;1;1078
15.5;1;1119;2;1119
16.5;0;1095;3;1095
17.5;1;1131;1;1131
18.5;1;1158;1;1158
19.5;1;1167;0;1167
20.5;0;1139;2;1139
21.5;0;1103;0;1103
22.5;0;1146;0;1146
23.5;1;1164;1;1164
24.5;1;1090;0;1090
25.5;0;1100;0;1100
26.5;0;1172;1;1172
27.5;1;1114;0;1114
28.5;0;1126;1;1126
29.5;1;1130;1;1130
30.5;0;1104;0;1104
31.5;1;1149;1;1149
32.5;1;1091;2;1091
33.5;2;1068;1;1068
34.5;0;1163;1;1163
35.5;2;1097;3;1097
36.5;1;1117;0;1117
37.5;0;1118;2;1118
38.5;1;1117;0;1117
39.5;0;1078;2;1078
40.5;1;1086;2;1086
41.5;1;1122;1;1122
42.5;2;1136;0;1136
43.5;1;1179;0;1179
44.5;1;1142;1;1142
45.5;0;1155;0;1155
46.5;4;1079;0;1079
47.5;2;1074;1;1074
48.5;0;1070;1;1070
49.5;0;1189;0;1189
50.5;3;1130;1;1130
51.5;0;1134;0;1134
52.5;1;1161;1;1161
53.5;1;1089;2;1089
54.5;1;1117;1;1117
55.5;1;1115;0;1115
56.5;1;1112;2;1112
57.5;0;1150;1;1150
58.5;1;1139;2;1139
59.5;0;1240;0;1240
60.5;1;1142;0;1142
61.5;1;1094;0;1094
62.5;1;1115;0;1115
63.5;4;1197;2;1197
64.5;0;1099;0;1099
65.5;0;1111;1;1111
66.5;0;1095;0;1095
67.5;0;1173;0;1173
68.5;1;1200;0;1200
69.5;0;1116;2;1116
70.5;2;1102;1;1102
71.5;0;1121;2;1121
72.5;2;1056;1;1056
73.5;1;1127;2;1127
74.5;2;1098;3;1098
75.5;1;1103;1;1103
76.5;0;1079;1;1079
77.5;0;1108;1;1108
78.5;0;1137;1;1137
79.5;0;1124;2;1124
80.5;2;1100;1;1100
81.5;0;1076;2;1076
82.5;2;1135;0;1135
83.5;1;1082;1;1082
84.5;3;1134;0;1134
85.5;1;1137;1;1137
86.5;1;1057;1;1057
87.5;1;1102;2;1102
88.5;1;1125;0;1125
89.5;1;1122;3;1122
90.5;0;1119;2;1119
91.5;1;1104;1;1104
92.5;1;1172;1;1172
93.5;2;1172;0;1172
94.5;0;1050;1;1050
95.5;1;1042;0;1042
96.5;1;1090;2;1090
97.5;0;1145;3;1145
98.5;1;1052;0;1052
99.5;1;1134;0;1134
100.5;1;1122;1;1122
101.5;2;1073;1;1073
102.5;0;1172;3;1172
103.5;1;1061;0;1061
104.5;0;1153;1;1153
105.5;0;1101;1;1101
106.5;0;1140;0;1140
107.5;0;1141;1;1141
108.5;1;1095;1;1095
109.5;2;1117;0;1117
110.5;0;1084;2;1084
111.5;2;1129;1;1129
112.5;0;1043;3;1043
113.5;1;1088;1;1088
114.5;1;1097;0;1097
115.5;1;1128;1;1128
116.5;0;1088;0;1088
