Parameter,Value,Uncertainty
A,219.5040159664627,2.457101653121824
b,0.5224989263823921,0.08274998792413485
FWHM,52.65803732901876,0.36526155348650396
d,714400.996833819,0.20280941261076535
Chi^2,49.47393470296521,
Reduced Chi^2,1.2066813342186637,
