Parameter,Value,Uncertainty
A,220.97933744559532,2.4498522655527486
b,0.7273486145093204,0.11840842501876252
FWHM,53.00811180734406,0.3764166056698842
d,927200.0292958698,0.20410716761231013
Chi^2,35.98579057282816,
Reduced Chi^2,0.9469944887586358,
