BinCenter (ps);Histo01;Histo02;Histo03;Histo04
1821;8;21;0;0
1827;10;19;0;0
1833;8;30;0;0
1839;10;35;0;0
1845;7;56;0;0
1851;9;82;0;1
1857;11;130;0;0
1863;8;188;0;0
1869;6;310;0;0
1875;4;629;0;0
1881;9;1337;0;0
1887;12;3250;0;0
1893;11;7337;0;2
1899;6;14481;0;0
1905;15;26906;2;1
1911;11;43917;1;0
1917;8;65501;0;0
1923;6;87131;0;0
1929;12;105598;0;0
1935;11;114586;1;0
1941;8;113368;0;0
1947;5;101035;0;1
1953;7;82527;0;0
1959;11;61025;0;2
1965;8;42061;0;0
1971;12;26331;0;0
1977;8;15138;0;0
1983;4;8121;0;0
1989;4;4057;0;0
1995;9;1969;1;0
2001;9;901;0;0
2007;14;426;0;0
2013;8;212;0;0
2019;11;118;0;1
2025;13;73;0;0
2031;8;46;1;1
2037;5;39;0;0
2043;10;23;0;0
2049;9;28;1;0
2055;9;22;0;0
2061;10;31;0;1
2067;9;36;0;0
2073;6;71;0;0
2079;5;109;0;2
2085;12;124;0;0
2091;11;143;0;1
2097;11;202;0;0
2103;11;239;0;0
2109;11;230;0;0
2115;8;243;1;0
2121;14;257;0;0
2127;4;210;1;0
2133;10;167;0;0
2139;7;121;0;0
2145;11;95;0;0
2151;11;80;0;0
2157;5;57;0;0
2163;10;30;0;0
2169;9;29;0;0
2175;8;29;1;0
2181;17;18;0;0
2187;13;25;0;0
2193;10;21;1;0
2199;4;20;0;0
2205;7;16;0;0
2211;12;20;0;0
2217;12;13;0;0
2223;10;22;0;0
2229;7;25;0;0
2235;6;11;0;0
2241;7;17;2;0
2247;12;18;0;1
2253;11;17;0;1
2259;10;12;0;0
2265;10;23;0;0
2271;9;15;0;0
2277;8;21;0;0
2283;6;9;0;0
2289;12;12;0;1
2295;7;19;0;2
2301;11;16;0;1
2307;9;18;0;1
2313;10;17;0;0
2319;10;18;0;0
2325;11;17;0;0
2331;10;15;0;0
2337;8;10;0;0
2343;16;22;1;0
2349;5;16;0;0
2355;8;20;0;0
2361;7;18;0;0
2367;13;13;0;0
2373;9;23;0;0
2379;6;15;0;0
2385;9;21;0;0
2391;12;40;1;1
2397;14;41;0;0
2403;9;72;0;0
2409;13;75;0;1
2415;9;104;0;1
2421;9;133;1;0
2427;6;181;0;0
2433;9;219;0;1
2439;11;200;0;0
2445;6;177;0;1
2451;9;184;0;0
2457;11;121;1;1
2463;12;101;0;0
2469;10;76;0;0
2475;7;60;0;0
2481;11;50;1;0
2487;9;37;0;0
2493;4;22;0;0
2499;7;21;0;0
2505;17;21;0;1
2511;11;19;0;0
2517;16;17;0;0
2523;10;12;0;0
2529;7;22;1;1
2535;7;17;1;0
2541;4;17;1;0
2547;11;16;0;1
2553;15;14;0;0
2559;19;20;0;0
2565;24;18;0;0
2571;26;20;0;0
2577;48;15;0;0
2583;62;15;0;0
2589;101;17;1;0
2595;186;15;0;0
2601;393;16;0;0
2607;963;23;0;0
2613;2116;20;1;0
2619;4403;19;0;0
2625;8353;17;0;0
2631;14700;11;0;1
2637;23243;18;0;1
2643;34290;9;0;0
2649;45141;19;0;0
2655;54452;22;0;0
2661;60166;19;0;0
2667;60797;10;0;0
2673;56106;16;0;0
2679;47952;19;1;1
2685;37720;20;0;0
2691;27129;15;0;1
2697;17921;24;0;0
2703;10974;20;0;0
2709;6430;21;0;0
2715;3445;13;0;0
2721;1750;19;0;0
2727;959;19;0;0
2733;452;11;1;1
2739;290;16;0;0
2745;162;20;0;0
2751;137;18;0;1
2757;101;18;0;0
2763;64;24;0;0
2769;46;13;0;0
2775;41;24;0;0
2781;21;15;0;0
2787;17;18;0;0
2793;16;19;2;1
2799;20;14;0;0
2805;17;21;1;0
2811;11;14;0;1
2817;18;21;0;1
2823;12;24;0;0
2829;11;13;0;1
2835;16;26;0;1
2841;7;16;0;1
2847;11;18;0;1
2853;11;17;0;0
2859;7;23;0;0
2865;14;18;0;1
2871;5;14;1;1
2877;3;16;0;0
2883;9;16;1;0
2889;16;21;0;0
2895;6;16;0;3
2901;8;24;0;1
2907;7;13;0;0
2913;6;30;0;0
2919;14;26;0;0
2925;23;18;1;0
2931;25;25;0;0
2937;19;16;0;1
2943;13;12;0;3
2949;12;15;0;0
2955;27;13;1;0
2961;37;17;1;0
2967;27;21;0;0
2973;37;22;0;0
2979;31;20;0;0
2985;40;15;0;0
2991;33;23;0;0
2997;21;19;0;0
3003;25;18;0;1
3009;24;25;1;0
3015;20;35;0;0
3021;12;20;0;0
3027;7;20;0;0
3033;12;16;0;0
3039;14;11;0;0
3045;5;20;0;0
3051;11;18;0;0
3057;7;22;0;0
3063;17;21;0;1
3069;7;16;0;0
3075;15;27;0;1
3081;13;11;0;0
3087;11;8;0;1
3093;7;23;0;0
3099;6;20;0;0
3105;10;13;0;0
3111;11;16;1;0
3117;12;16;1;0
3123;9;19;0;0
3129;10;23;0;0
3135;11;13;0;0
3141;8;16;0;1
3147;13;13;0;0
3153;9;15;0;0
3159;7;21;0;0
3165;8;21;0;0
3171;9;17;1;0
3177;9;16;0;0
3183;10;25;1;0
3189;7;25;0;0
3195;5;20;0;0
3201;10;20;1;0
3207;8;23;0;0
3213;8;12;0;0
3219;11;23;1;0
3225;11;12;0;0
3231;13;14;2;0
3237;10;18;0;0
3243;8;8;0;1
3249;11;18;0;0
3255;8;11;0;1
3261;8;13;1;1
3267;11;19;0;1
3273;8;26;0;0
3279;14;20;0;1
3285;5;14;0;0
3291;5;20;0;0
3297;14;17;0;0
3303;10;26;0;0
3309;3;16;0;0
3315;8;20;0;0
3321;8;16;0;0
3327;8;15;0;0
3333;8;21;0;0
3339;10;12;0;0
3345;10;17;0;0
3351;11;17;0;0
3357;9;20;0;0
3363;15;25;0;0
3369;5;22;0;1
3375;11;11;0;0
3381;11;21;0;0
3387;6;12;0;0
3393;14;21;0;1
3399;15;18;0;0
3405;8;21;0;0
3411;13;12;0;1
3417;10;13;0;0
3423;9;17;0;0
3429;11;12;0;0
3435;12;25;0;0
3441;4;22;0;1
3447;8;12;0;1
3453;16;13;0;0
3459;11;19;0;0
3465;10;17;0;0
3471;7;16;1;0
3477;8;12;0;1
3483;7;14;2;0
3489;7;25;0;1
3495;9;20;0;0
3501;10;20;0;0
3507;9;15;1;1
3513;7;14;0;0
3519;9;29;1;1
3525;7;22;0;0
3531;9;22;1;0
3537;7;22;0;0
3543;11;19;0;0
3549;11;18;0;0
3555;6;17;0;0
3561;8;30;1;1
3567;3;14;0;0
3573;4;18;0;0
3579;4;25;0;0
3585;8;22;0;0
3591;8;14;0;1
3597;16;21;0;1
3603;9;21;0;0
3609;10;20;0;0
3615;14;14;0;0
3621;9;19;0;0
3627;12;13;1;2
3633;6;16;0;1
3639;5;19;0;0
3645;12;14;0;0
3651;10;22;0;0
3657;11;14;0;0
3663;15;25;0;0
3669;10;19;0;0
3675;4;16;0;1
3681;8;12;0;1
3687;11;18;0;0
3693;9;17;0;1
3699;14;17;0;0
3705;7;14;0;0
3711;7;10;0;0
3717;7;19;0;1
3723;10;22;0;0
3729;11;19;1;2
3735;10;13;0;0
3741;8;18;0;0
3747;8;16;0;1
3753;5;16;0;1
3759;5;15;0;1
3765;11;16;0;0
3771;8;14;0;0
3777;12;20;0;0
3783;5;21;0;0
3789;11;15;0;1
3795;7;16;0;1
3801;12;20;0;0
3807;5;15;0;1
3813;17;26;1;0
3819;8;21;0;0
3825;10;13;0;0
3831;9;22;0;0
3837;13;25;0;0
3843;12;11;0;0
3849;10;18;1;0
3855;7;20;0;0
3861;7;13;0;0
3867;6;13;0;1
3873;7;20;1;0
3879;8;19;0;0
3885;11;21;0;0
3891;4;13;1;0
3897;14;10;0;1
3903;15;23;1;0
3909;8;14;0;0
3915;2;22;1;0
3921;14;20;0;0
3927;8;17;0;0
3933;11;22;0;1
3939;8;17;0;0
3945;12;20;1;0
3951;11;16;0;0
3957;13;17;0;0
3963;9;15;1;1
3969;11;17;0;0
3975;4;14;0;0
3981;14;14;0;0
3987;7;18;1;0
3993;9;21;0;0
3999;15;13;0;0
4005;4;19;0;0
4011;16;23;0;0
4017;8;23;0;0
4023;8;14;0;0
4029;5;20;0;0
4035;8;16;1;0
4041;7;21;1;0
4047;12;13;1;1
4053;9;18;0;0
4059;10;22;0;1
4065;9;15;0;0
4071;8;19;1;0
4077;14;16;0;1
4083;8;17;0;0
4089;8;16;0;0
4095;5;15;0;0
4101;12;21;0;0
4107;12;20;1;0
4113;7;14;1;0
4119;8;20;0;0
4125;12;31;1;1
4131;10;22;0;0
4137;10;17;0;1
4143;9;17;0;0
4149;9;12;0;1
4155;11;13;0;0
4161;6;20;0;0
4167;10;11;0;0
4173;4;19;0;0
4179;7;22;0;1
4185;2;22;0;0
4191;6;16;0;2
4197;12;13;0;0
4203;11;19;0;2
4209;16;21;2;0
4215;6;19;0;0
4221;5;12;0;0
4227;5;21;0;0
4233;9;13;0;1
4239;10;16;0;0
4245;12;14;1;0
4251;3;25;0;0
4257;13;17;0;0
4263;10;14;0;0
4269;12;27;0;0
4275;7;7;0;0
4281;11;21;0;0
4287;6;17;0;0
4293;5;30;0;0
4299;8;18;1;0
4305;14;18;0;0
4311;15;12;0;0
4317;9;18;0;0
4323;6;17;1;2
4329;7;20;0;0
4335;4;25;0;0
4341;9;10;1;0
4347;11;15;0;1
4353;8;22;1;0
4359;9;21;1;0
4365;7;17;0;0
4371;6;15;0;1
4377;8;17;0;1
4383;8;14;1;0
4389;14;22;1;0
4395;8;26;0;0
4401;10;16;0;1
4407;15;15;0;0
4413;7;19;0;0
4419;8;17;1;0
4425;3;14;0;1
4431;15;8;0;0
4437;9;26;0;0
4443;8;29;0;0
4449;13;16;0;0
4455;7;9;0;0
4461;9;18;0;0
4467;8;28;1;1
4473;12;26;0;0
4479;8;26;1;1
4485;13;19;0;0
4491;4;24;0;1
4497;6;20;0;0
4503;8;20;0;1
4509;14;18;0;0
4515;4;23;0;0
4521;10;14;0;0
4527;10;18;0;0
4533;16;21;0;1
4539;14;19;0;0
